timestamp,threat_type,source_ip,source_mac,details
2025-10-29 07:42:06.947058,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:42:10.954236,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:42:17.147789,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:42:33.204283,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:42:37.065557,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:42:51.880320,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:42:57.041646,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:43:00.310933,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:43:04.613647,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '172.64.144.52']"
2025-10-29 07:43:08.595753,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:43:10.634256,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:43:13.017150,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'vscode-cdn.z01.azurefd.net.']"
2025-10-29 07:44:01.878974,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '3.233.158.114']"
2025-10-29 07:44:03.949477,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '3.233.158.114']"
2025-10-29 07:44:05.957892,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '3.233.158.114']"
2025-10-29 07:44:08.092265,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '3.233.158.114']"
2025-10-29 07:44:10.141908,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '3.233.158.114']"
2025-10-29 07:46:24.801571,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'copilot-proxy.githubusercontent.com.']"
2025-10-29 07:46:26.900743,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'copilot-proxy.githubusercontent.com.']"
2025-10-29 07:46:29.059086,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'copilot-proxy.githubusercontent.com.']"
2025-10-29 07:46:31.009262,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'copilot-proxy.githubusercontent.com.']"
2025-10-29 07:46:34.576427,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:46:38.311467,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:46:40.412841,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mozilla.map.fastly.net.']"
2025-10-29 07:46:42.481314,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:46:48.305611,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:46:52.914772,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:46:57.171532,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:47:03.450215,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:47:13.996268,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'copilot-telemetry-service.githubusercontent.com.']"
2025-10-29 07:47:19.829440,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'copilot-telemetry-service.githubusercontent.com.']"
2025-10-29 07:47:23.396684,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:47:27.079015,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:47:30.109864,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:47:33.560350,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:47:37.110974,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:47:43.652592,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:47:45.878524,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '3.233.158.111']"
2025-10-29 07:47:48.770507,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '3.233.158.111']"
2025-10-29 07:47:53.837125,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '3.233.158.111']"
2025-10-29 07:47:58.830472,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:48:03.278606,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:48:06.187335,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
