ts,pkt_no,eth_src,eth_dst,eth_type,ip_src,ip_dst,ip_proto,tcp_flags,tcp_sport,tcp_dport,udp_len,udp_sport,udp_dport,arp_op,arp_psrc,arp_pdst,arp_hwsrc,arp_hwdst,dhcp_msgtype,dhcp_server_id,dhcp_yiaddr,dns_qname,dns_qtype,dns_ans,tcp_syn
1761571048.5598614,167,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571048.5600388,168,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571048.5601945,169,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571048.5603857,170,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571048.614583,171,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,23.58.31.18,6,A,56760.0,80,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571048.6515374,172,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,23.58.31.18,10.89.153.28,6,A,80.0,56760,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571050.201931,173,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x86dd,None,None,0,None,None,0,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571050.202295,174,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x86dd,None,None,0,None,None,0,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571051.042478,175,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,PA,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571051.0450838,176,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,PA,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571051.0455687,177,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,PA,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571051.114891,178,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,A,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571051.1233728,179,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,A,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571051.134329,180,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,A,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571051.3261826,181,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571051.3268678,182,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571051.3286393,183,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571051.328974,184,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571051.329327,185,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.027044,186,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,PA,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.027298,187,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,PA,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.0274904,188,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,PA,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.027681,189,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,PA,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.0278764,190,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,PA,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.202154,191,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,PA,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.2140603,192,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,A,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.214973,193,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,A,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.2256837,194,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,A,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.290615,195,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,A,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.3204398,196,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,A,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.3206837,197,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571056.3646429,198,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,A,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571057.1090531,199,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,PA,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571057.1092994,200,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,PA,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571057.2264898,201,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,A,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571057.22685,202,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571057.2270677,203,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571057.2272692,204,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571057.227424,205,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571057.2415702,206,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571057.2454495,207,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571058.4213166,208,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571058.4217565,209,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571058.4236877,210,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571058.4266686,211,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571058.4269507,212,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571058.4271452,213,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571058.4275732,214,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571058.4277782,215,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571058.4346905,216,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571058.434909,217,08:00:27:13:80:5a,46:f2:67:ee:7b:16,0x800,10.89.153.28,104.18.32.47,6,A,58186.0,443,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
1761571058.4511328,218,46:f2:67:ee:7b:16,08:00:27:13:80:5a,0x800,104.18.32.47,10.89.153.28,6,PA,443.0,58186,None,None,0,0,None,None,None,None,None,None,None,None,None,None,0
